code,date,likes,comments,er_pct,cards,caption_length,first_line,first_line_length,hashtag_count,mention_count,first_line_has_arrow,first_line_has_question,newline_count,style,topic,emoji_density,tone_구어체_어미,tone_1인칭_화자,tone_단정형_도발,tone_지시·CTA,tone_권위_인용,tone_이야기_훅
DXBiIMYmQlG,20260412,73455,114,201.88,7,385,😂 제발 걸리기 전에 가야 한다고… 근데 이미 늦었어요,30,5,0,0,0,20,유머·짤,기타,2.6,1,0,0,0,0,0
DXgbMypGZ4L,20260424,14193,225,39.56,5,425,매년 수백억 적자가 나도 서점 문을 닫지 않는 회사예요.,31,5,0,0,0,10,기타,기타,0.0,0,0,0,0,0,0
DXvP728mblQ,20260430,12246,234,34.25,7,486,버스가 달리는 데 연료가 아니라 사람의 배설물을 쓴다면 믿어지시나요.,38,5,0,0,0,10,정보성_팩트체크,의학·건강,0.0,0,0,0,0,0,0
DWlbvOomU2U,20260401,11509,261,32.3,17,43,볼때마다 너무 슬프네요..,14,5,0,0,0,3,기타,의학·건강,0.0,0,0,0,0,0,0
DX8-a0emdkH,20260505,10812,202,30.22,10,593,얼룩말은 매일 사자한테 쫓겨요. 근데 위궤양에는 걸리지 않아요.,35,5,0,0,0,10,기타,증상·질환,0.0,0,0,0,0,0,0
DWUypFBE2MP,20260326,7829,104,21.77,13,23,환경을 생각하는 움직임이 너무 좋습니다..,23,0,0,0,0,0,기타,기타,0.0,0,0,0,0,0,0
DXRM9sFGWz9,20260418,7527,150,21.07,20,305,"안녕, 잘 가 삼순아",11,5,0,0,0,11,기타,의학·건강,0.0,0,0,0,0,0,0
DW6MMGbmWQ8,20260409,6415,595,19.24,15,868,태양과 달의 지름은 약 400배 차이! ☀️🌕,25,5,0,0,0,23,정보성_팩트체크,의학·건강,2.19,0,0,1,1,0,0
DXoYOG_mV8N,20260427,6315,212,17.91,20,622,응급실 의사들이 가장 긴장하는 환자 유형이 있어요.,28,5,0,0,0,10,기타,의학·건강,0.0,0,0,0,1,0,0
DX5ylL8mUs4,20260504,6238,79,17.33,10,617,"예언가로 유명한 노스트라다무스, 사실 원래 직업은 의사예요.",33,5,0,0,0,10,정보성_팩트체크,의학·건강,0.0,0,0,0,0,0,0
DW3QfJqGXDK,20260408,6230,60,17.26,8,641,"벚꽃 엔딩이 다가오는 요즘, 길을 걷다 보면 꽃잎이 아니라 꽃송이가 통째로 바닥에 뚝뚝 떨어져 있는 걸 보신 적 있으신가요? 🌸",71,5,0,0,1,10,정보성_팩트체크,의학·건강,1.25,0,0,1,0,0,0
DYLkaYamY8i,20260511,5297,141,14.92,14,681,"수능 물리 문제를 본 물리학 교수가 ""너희들이 이걸 풀었다고?""라고 했어요.",42,5,0,0,1,10,정보성_가이드,의학·건강,0.0,0,1,0,1,0,0
DXjAoGQmfld,20260425,4470,337,13.19,20,593,"국민 간식 새우깡에서 미세플라스틱이 1,100개 넘게 나왔어요.",35,5,0,0,0,10,정보성_팩트체크,의학·건강,0.0,0,1,0,0,0,0
DX8IIkymXvr,20260505,4405,499,13.46,8,485,채식만 하면 혈관 건강은 괜찮다고 생각하셨나요?,26,5,0,0,1,8,기타,증상·질환,0.0,0,0,0,0,0,0
DWbB5AZE89m,20260328,4374,220,12.61,19,29,요즘 육아에 '집착'이 생긴 심리학적인 이유죠..ㄷㄷ,29,0,0,0,0,0,기타,기타,0.0,0,0,0,0,0,0
DYGoq2mmZNJ,20260509,4233,40,11.73,7,702,"스탠퍼드 신경과학자가 말하는, 매일 하면 수명이 짧아지는 습관 10가지예요.",42,5,0,0,0,10,매체·뉴스,의학·건강,0.0,0,1,0,0,0,0
DXyeC6Omauf,20260501,4228,77,11.81,10,515,"케이팝이 세계를 흔든다고 했는데, 공군도 중동 하늘을 흔들고 왔어요.",38,5,0,0,0,8,기타,IT·기획·창업,0.0,0,0,0,0,0,0
DXllxQPGZON,20260426,4208,61,11.71,2,402,엄마가 하는 걸 다 따라 하고 싶은 건 고래도 마찬가지예요.,33,5,0,0,0,8,기타,운동·바디,0.0,0,0,0,0,0,0
DWXsw0_k0kh,20260327,4150,93,11.64,4,13,강아지는 사랑입니다 ㅠㅠ,13,0,0,0,0,0,기타,기타,0.0,0,0,0,0,0,0
DX6ZtRMmbMx,20260504,4104,9,11.29,2,440,"이게 합성이라고 생각하셨다면, 진짜예요.",22,5,0,0,0,8,기타,의학·건강,0.0,0,0,0,0,0,0
