code,date,likes,comments,er_pct,cards,caption_length,first_line,first_line_length,hashtag_count,mention_count,first_line_has_arrow,first_line_has_question,newline_count,style,topic,emoji_density,tone_구어체_어미,tone_1인칭_화자,tone_단정형_도발,tone_지시·CTA,tone_권위_인용,tone_이야기_훅
DT-FI5pkhkd,20260126,2880,224,12.63,11,819,"⬇️ 다음화, 공복 올리브 오일의 정체 ! ⬇️",26,0,0,1,0,8,정보성_팩트체크,영양제·식품,0.0,0,0,0,0,1,0
DXvlNVWiXZk,20260430,2611,91,10.99,11,366,⬇️ 사실 우리 몸은 식초를 만들고 있어요..⬇️,27,0,0,1,0,6,정보성_팩트체크,증상·질환,0.0,0,0,0,0,0,0
DSmRl5LkiyL,20251223,2547,80,10.69,8,282,"신뢰도 높은 연구들이 비타민 C를 적정 섭취하는 것이 옳다고 말하는 것은 명백하지만, 어떤 이들은 경험에 의거해 비타민 C 고용량 요법의 효과를",91,4,0,0,0,6,정보성_팩트체크,영양제·식품,0.0,0,1,0,0,0,0
DUxPJ2MkoEj,20260215,2029,72,8.55,9,696,⬇️ 자세한 해설 ⬇️,12,0,0,1,0,10,정보성_팩트체크,운동·바디,0.0,0,1,0,0,0,0
DUdECBKEvoM,20260207,1849,150,8.13,14,581,⬇️ 그냥 과일 먹고싶어서 안하는거 아님? ⬇️,26,0,0,1,1,12,정보성_팩트체크,다이어트·체중,0.0,0,1,1,0,0,1
DUS1F7SEuJL,20260203,1716,86,7.33,12,317,⬇️ 그리고 공복에 먹으면 저같은 역류성 식도염 고위험군은 '죽습니다' ⬇️,42,0,0,1,0,4,정보성_팩트체크,의학·건강,0.0,0,0,0,0,0,0
DWI4rIGieIZ,20260321,1602,58,6.75,12,743,⬇️ 와 그럼 오늘부터 물 대신 커피 마실게요!! ⬇️,30,0,0,1,0,10,정보성_팩트체크,의학·건강,0.0,0,0,0,0,0,0
DXB_p-wiZSo,20260412,1572,65,6.66,11,555,"⬇️ 다음화, 탄수화물과 당 ⬇️",18,0,0,1,0,12,정보성_팩트체크,의학·건강,0.0,0,0,0,0,0,0
DUnJ-irEumk,20260211,1270,38,5.32,12,436,⬇️ 계정주 밑천 대공개 ⬇️,16,0,0,1,0,8,정보성_팩트체크,의학·건강,0.0,0,1,1,0,1,0
DYThxDoCdDO,20260514,1188,24,4.93,10,285,⬇️ 운동은 실전이야 애송이.. ⬇️,20,0,0,1,0,4,정보성_가이드,운동·바디,0.0,0,0,0,0,0,0
DT2bpOlkr9h,20260123,1140,39,4.8,9,369,⬇️ 간 검사에 대한 추가 설명 ⬇️,20,0,0,1,0,6,정보성_팩트체크,의학·건강,0.0,0,0,0,0,0,0
DVqJgB7iTku,20260309,1008,41,4.27,10,214,⬇️ 척추 건강 AS 왔습니다 ⬇️,19,2,3,1,0,7,유머·짤,의학·건강,0.0,0,0,0,0,0,0
DVDeu1tkimg,20260222,967,67,4.21,13,1072,⬇️ 천일염과 한국인의 나트륨⬇️,18,0,0,1,0,14,정보성_팩트체크,증상·질환,0.0,0,1,0,0,0,0
DW2-s80ibnU,20260408,869,63,3.79,9,529,⬇️ 예? 너무 뻔한것들 아닙니까..? ⬇️,24,0,0,1,1,8,정보성_가이드,의학·건강,0.0,0,1,0,0,0,0
DTEdf5BEnT6,20260104,693,49,3.02,17,321,"깔끔하게 정리하고 싶어서 만들기 시작했는데, 조사하다보니 내용이 정말 방대했습니다.",46,0,0,0,0,10,정보성_가이드,의학·건강,0.31,0,0,0,0,0,0
DWlPz0qDrsC,20260401,670,55,2.95,8,52,"⬇️ 이것만 드시면, 영양제 고민은 더이상 그만 ⬇️",29,0,0,1,0,4,기타,영양제·식품,0.0,0,0,1,0,0,0
DXVyWZFCUiG,20260420,583,19,2.45,12,557,"⬇️ NSS : 사카린, 스테비아, 아스파탐, 수크랄로스 ⬇️",34,0,0,1,0,12,정보성_팩트체크,의학·건강,0.0,0,0,0,0,1,0
DV0eXfZCZN5,20260313,511,18,2.15,10,464,⬇️ 자그마한 선물은.. ⬇️,16,0,0,1,0,8,정보성_팩트체크,의학·건강,0.0,0,0,0,0,0,0
DVfzc_TktXz,20260305,507,39,2.22,14,478,⬇️ 연구의 신뢰도가 낮다? ⬇️,18,0,0,1,1,10,정보성_팩트체크,의학·건강,0.0,0,1,0,0,1,1
DSqfhuGkuyE,20251225,430,17,1.82,8,37,제가 먹고싶어서 공부한 정보입니다.,19,4,0,0,0,2,기타,의학·건강,0.0,0,1,0,0,0,0
