code,date,likes,comments,er_pct,cards,caption_length,first_line,first_line_length,hashtag_count,mention_count,first_line_has_arrow,first_line_has_question,newline_count,style,topic,emoji_density,tone_구어체_어미,tone_1인칭_화자,tone_단정형_도발,tone_지시·CTA,tone_권위_인용,tone_이야기_훅
DUqCj5xD5nd,20260212,86654,318,829.73,8,256,"결말을 역사로 알고 있음에도 묵직한 여운이 쉽게 가시지 않는 영화죠. 〈왕과 사는 남자〉는 화면에 담긴 모습뿐만 아니라, 그 장면이 탄생하기까지",111,0,0,0,0,4,정보성_가이드,기타,0.39,0,0,0,0,0,0
DWMRiMwj-3n,20260323,12982,43,124.26,7,597,"〈프로젝트 헤일메리〉의 엔딩 크레딧은 각종 SNS에서 화제가 되었는데요. 특히 화면을 가득 채운 이 우주 이미지가 CG가 아닌, 실제 촬영된 천",105,0,1,0,0,9,정보성_팩트체크,기타,0.5,0,1,0,0,0,0
DSeyRqZj3AO,20251220,7709,170,75.17,8,592,"3년의 기다림 끝에 〈아바타: 불과 재〉가 개봉했습니다. 3시간 17분이라는 긴 러닝타임이었지만, 개인적으로는 그 시간조차 더 천천히 흘렀으면 ",115,0,0,0,1,8,기타,기타,0.34,0,0,0,0,0,1
DUz_MtHD--R,20260216,6736,37,64.62,7,142,"사극 영화가 남기는 여운은 유독 깊습니다. 작중 인물이 아무리 애써도 결국 역사의 흐름을 거스를 수 없다는 사실을 알기에, 그들의 대사는 더욱 ",93,0,0,0,0,2,정보성_가이드,기타,0.7,0,0,0,0,0,1
DLwPbuHRRUG,20250706,3654,10,34.96,9,299,영화를 보며 ‘이 장면을 어떻게 촬영한 거지?’ 궁금하지 않으셨나요?,38,0,0,0,1,6,기타,IT·기획·창업,0.33,0,0,0,0,0,0
DT2VXDDD9g-,20260123,3256,19,31.24,10,798,〈기묘한 이야기〉의 맥스 메이필드 역으로 알려진 세이디 싱크는 브로드웨이에서 커리어를 시작한 뮤지컬 배우 출신입니다. 그녀는 어린 시절 오빠와 ,207,0,0,0,0,10,기타,의학·건강,0.13,0,0,0,0,0,0
DNNtmAgSLQk,20250811,2701,8,25.84,11,374,<에브리씽 에브리웨어 올 앳 원스> 조부 투파키의 독창적인 스타일을 기억하시나요?,45,0,0,0,1,9,기타,기타,1.07,0,0,0,0,0,1
DOIlCItD9Iy,20250903,2215,24,21.36,19,302,우디 앨런 감독의 영화 〈미드나잇 인 파리〉에서는 1920년대 파리로 시간 여행을 떠난 주인공이 다양한 예술가들과 마주합니다. 스콧 & 젤다 피,142,0,0,0,0,4,기타,기타,0.33,0,0,0,0,0,0
DVQ_wcRDyGe,20260227,2212,32,21.41,10,292,〈햄넷〉은 국내 개봉 전부터 평단의 호평을 받으며 큰 기대를 모은 작품입니다. 저 역시 궁금증을 안고 사전 정보를 최소화한 채 개봉 첫날 극장을,122,0,0,0,0,4,정보성_가이드,기타,0.68,0,0,0,0,0,0
DVEFz24D4rm,20260222,2034,15,19.55,10,393,2025년 칸 영화제 프리미어 상영 직후 약 19분간 기립박수를 받은 〈센티멘탈 밸류〉. 그랑프리(심사위원대상)까지 거머쥐며 그 작품성을 인정받,105,0,0,0,1,7,정보성_가이드,의학·건강,0.76,0,1,0,0,0,0
